ticker,company_name,sector,industry,year,revenue,revenue_growth,ebitda,ebitda_margin,net_income,net_margin,operating_income,operating_margin,total_assets,total_debt,debt_to_ebitda,free_cash_flow,fcf_margin,market_cap,enterprise_value,ev_revenue,ev_ebitda
AAPL,Apple Inc.,Technology,Consumer Electronics,2025,416161000000.0,6.425511782832739,144748000000.0,34.78173110887373,112010000000.0,26.91506412181824,133050000000.0,31.970799762591884,359241000000.0,98657000000.0,0.6815776383784232,98767000000.0,23.732882225869314,4062065721344,4041536438272,9.711473295844637,27.921190194489736
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2025,281724000000.0,14.93215623240672,160165000000.0,56.851741420681236,101832000000.0,36.146015248967075,128528000000.0,45.62195624085985,619003000000.0,60588000000.0,0.3782848937033684,71611000000.0,25.418849654271558,3022227767296,3102605836288,11.012926965001206,19.37130981355477
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2025,402836000000.0,15.090081081544376,180698000000.0,44.85646764440119,132170000000.0,32.80987796522654,129039000000.0,32.032638592380025,595281000000.0,59291000000.0,0.3281220600117323,73266000000.0,18.187550268595658,3826523308032,3794015354880,9.418262903216197,20.996443540492976
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,2025,200966000000.0,22.16703849824621,105713000000.0,52.60243026183533,60458000000.0,30.08369574952977,83276000000.0,41.437855159579236,366021000000.0,83897000000.0,0.7936299225260848,46109000000.0,22.943682015863377,1686467248128,1700112498688,8.459702132141755,16.08234085389687
NVDA,NVIDIA Corporation,Technology,Semiconductors,2025,130497000000.0,114.20340763599357,86137000000.0,66.00688138424638,72880000000.0,55.848027157712444,81453000000.0,62.417526839697466,111601000000.0,10270000000.0,0.11922867060612745,60853000000.0,46.63172333463604,4646854197248,4531735756800,34.72674281247845,52.61079160871635
CRM,"Salesforce, Inc.",Technology,Software - Application,2025,37895000000.0,8.715609490202828,11143000000.0,29.404934687953556,6197000000.0,16.353080881382766,7666000000.0,20.2295817390157,102928000000.0,11392000000.0,1.022345867360675,12434000000.0,32.81171658530149,175877242880,181574647808,4.791519931600475,16.2949517910796
ADBE,Adobe Inc.,Technology,Software - Application,2025,23769000000.0,10.527784236224134,9815000000.0,41.29328116454205,7130000000.0,29.99705498758888,8706000000.0,36.62754007320459,29496000000.0,6648000000.0,0.677330616403464,9852000000.0,41.44894610627288,107544625152,108706037760,4.573437576675501,11.075500535914417
ORCL,Oracle Corporation,Technology,Software - Infrastructure,2025,57399000000.0,8.379751137629576,23912000000.0,41.65926235648705,12443000000.0,21.678078015296435,18052000000.0,31.450025261764143,168361000000.0,104104000000.0,4.353629976580796,-394000000.0,-0.686423108416523,448789282816,571854749696,9.962799869266014,23.914969458681835
NOW,"ServiceNow, Inc.",Technology,Software - Application,2025,13278000000.0,20.88492352512746,3022000000.0,22.75945172465733,1748000000.0,13.164633227895767,1824000000.0,13.737008585630367,26038000000.0,2403000000.0,0.7951687624090007,4533000000.0,34.139177586985994,106105176064,107497078784,8.095878805844254,35.57150191396426
SNOW,Snowflake Inc.,Technology,Software - Application,2025,3626396000.0,29.214687818124354,-1099832000.0,-30.32851348832284,-1285640000.0,-35.45227823988334,-1456010000.0,-40.15033107250284,9033938000.0,2685270000.0,-2.441527433280719,884052000.0,24.378253229928557,60234010624,61811384320,17.044852332729246,
